runtime,memory_mb,payload_size,mode,n,init_p50_ms,init_p95_ms,init_p99_ms,dur_p50_ms,dur_p95_ms,dur_p99_ms,billed_p50_ms,max_mem_p95_mb
java-native,512,1k,cold,50,389.55,521.89,524.38,437.00,576.55,584.55,437.00,92.0
java-native,512,1k,warm,50,,,,11.00,13.00,17.06,11.00,109.0
java-native,512,1m,cold,50,387.32,528.84,532.65,499.00,659.95,672.02,499.00,97.0
java-native,512,1m,warm,50,,,,58.50,85.55,92.12,58.50,142.0
java-native,1024,100k,cold,50,388.55,528.74,538.65,431.50,575.40,585.08,431.50,93.0
java-native,1024,100k,warm,50,,,,13.00,14.00,14.51,13.00,130.6
java-native,1024,1k,cold,50,386.52,518.84,524.47,425.00,562.55,572.02,425.00,92.0
java-native,1024,1k,warm,50,,,,11.00,12.00,12.00,11.00,109.0
java-native,1024,1m,cold,50,391.59,531.63,539.58,470.50,622.30,628.02,470.50,97.0
java-native,1024,1m,warm,50,,,,37.00,45.00,53.12,37.00,142.0
java-native,1769,100k,cold,50,391.95,524.00,524.99,435.00,574.65,580.02,435.00,93.0
java-native,1769,100k,warm,50,,,,12.00,14.00,16.00,12.00,130.6
java-native,1769,1k,cold,50,389.98,533.48,576.42,431.50,574.65,626.39,431.50,92.0
java-native,1769,1k,warm,50,,,,10.00,12.55,13.00,10.00,109.0
java-native,1769,1m,cold,50,385.73,516.26,526.84,449.00,589.75,594.53,449.00,97.0
java-native,1769,1m,warm,50,,,,27.00,34.55,41.12,27.00,142.0
node,512,100k,cold,50,315.90,397.12,414.85,535.50,636.55,647.18,535.50,108.5
node,512,100k,warm,50,,,,11.00,25.10,69.10,11.00,115.0
node,512,1k,cold,50,320.37,402.54,420.46,540.50,647.20,662.14,540.50,108.0
node,512,1k,warm,50,,,,10.00,17.65,22.57,10.00,108.0
node,512,1m,cold,50,318.93,392.31,396.43,638.50,755.70,792.08,638.50,113.0
node,512,1m,warm,50,,,,35.50,112.25,119.51,35.50,136.0
node,1024,100k,cold,50,317.07,392.66,416.56,434.00,522.55,546.83,434.00,107.0
node,1024,100k,warm,50,,,,10.00,14.00,15.53,10.00,111.0
node,1024,1k,cold,50,315.64,388.68,393.35,429.50,511.10,521.04,429.50,108.0
node,1024,1k,warm,50,,,,11.00,12.00,17.55,11.00,111.0
node,1024,1m,cold,50,321.45,400.30,404.29,463.50,555.05,569.53,463.50,113.0
node,1024,1m,warm,50,,,,20.00,49.65,52.51,20.00,138.0
node,1769,100k,cold,50,317.49,406.72,429.50,407.00,500.65,527.44,407.00,109.0
node,1769,100k,warm,50,,,,11.50,14.00,14.00,11.50,111.0
node,1769,1k,cold,50,319.08,402.79,419.18,406.50,503.55,518.20,406.50,108.0
node,1769,1k,warm,50,,,,10.00,13.00,13.51,10.00,109.0
node,1769,1m,cold,50,320.58,404.93,410.87,422.00,521.55,527.04,422.00,113.0
node,1769,1m,warm,50,,,,24.00,40.10,50.08,24.00,134.0
